"","track_id","artist_name","title","loudness","tempo","time_signature","key","mode","duration","song_hotttnesss","year","popular"
"12859","TRAWBHE12903CBC4CB","B.o.B","Nothin' On You [feat. Bruno Mars] (Album Version)",-5.388,104.038,4,10,1,269.63546,1,2010,1
"859","TRABUDK128F14943F3","Donny Hathaway","This Christmas (LP Version)",-9.647,92.98,1,5,1,231.18322,0.997758396,0,1
"11272","TRATKVY128EF35F97A","Maroon 5","Harder To Breathe",-4.757,149.917,4,1,0,173.66159,0.979837196,2002,1
"6520","TRALDUE128F9312AF2","Snow Patrol","Just Say Yes",-5.519,107.998,4,9,1,284.1073,0.94599468,2009,1
"12904","TRAWEIX128F14B0F05","Pete Rock & C.L. Smooth","They Reminisce Over You (Single Version)",-10.235,101.779,4,1,0,286.69342,0.932274163,1992,1
"2568","TRAEOFB12903CB7900","Muse","Exogenesis: Symphony Part 1 [Overture]",-8.895,121.071,3,5,1,258.42893,0.931346488,0,1
"2120","TRADZQV128F14A5760","Little Eva","The Loco-Motion",-6.643,129.781,1,3,1,145.162,0.928367113,1962,1
"2072","TRADVGV128F42BCACE","Avril Lavigne","Innocence",-4.165,138.364,1,1,0,232.202,0.927132546,2007,1
"3078","TRAFKRE128F932002B","All Time Low","Umbrella",-8.901,87.953,4,1,1,227.70893,0.927112122,2008,1
"2641","TRAEUIW12903D018F0","Jack Johnson","You And Your Heart",-7.045,107.042,4,2,1,196.20526,0.918534291,2010,1
"4176","TRAHEEY128F9335ECD","Sean Kingston","Face Drop",-3.426,168.02,4,2,1,184.58077,0.917551963,2009,1
"4418","TRAHYMJ128E0787801","Red Hot Chili Peppers","Venice Queen (Album Version)",-5.278,88.57,4,0,1,367.01995,0.911733498,2002,1
"4808","TRAIELD128F92DC682","Kings Of Leon","Genius",-6.538,125.875,1,7,1,168.82893,0.910225075,2003,1
"10633","TRASHSN12903CA9E34","Alicia Keys","Wait Til You See My Smile",-9.736,119.959,4,7,1,240.22159,0.909277347,2009,1
"7064","TRAMCGL128F92F3D87","The Mars Volta","Eriatarka",-3.183,158.34,3,6,0,380.42077,0.906077741,2003,1
"23081","TRBCUPT128F1462B73","Thrice","All That's Left",-2.87,182.977,4,7,0,201.58649,0.896789016,2003,1
"14141","TRAYJDF128F426B0DE","Janis Joplin","Maybe",-12.494,151.717,3,8,1,246.72608,0.893593875,1969,1
"14806","TRAZORC128F426C323","Cut Copy","Unforgettable Season",-3.592,129.975,4,10,1,195.21261,0.890314004,2008,1
"667","TRABCKL128F423A778","Lupe Fiasco","Streets On Fire (Explicit Album Version)",-6.294,110.218,4,7,0,279.97995,0.888813538,0,1
"10153","TRARPCK128F92FEA7F","Grizzly Bear","Little Brother",-14.199,169.038,4,4,0,384.67873,0.882530152,2006,1
"13069","TRAWRKT128E0788857","Rise Against","Swing Life Away",-7.679,184.591,3,6,1,200.12363,0.875510884,2003,1
"259","TRAAUEO128E0780CB9","Placebo","English Summer Rain",-7.255,108.264,4,10,0,241.52771,0.873702495,2003,1
"23432","TRBIAHA128F42A4C9B","Public Image Ltd","This Is Not A Love Song",-10.347,127.369,4,9,0,251.50649,0.87361876,1983,1
"10214","TRARUTP128E0797FC7","Linkin Park","Crawling (Album Version)",-6.052,105.095,4,4,1,208.95302,0.872229023,2000,1
"14749","TRAZKAG12903CD1918","AFI","Too Shy To Scream",-4.606,94.937,4,8,1,176.61342,0.867008491,2009,1
"7888","TRANVZT128F42AE134","Dixie Chicks","Lullaby",-12.749,109.74,4,5,1,351.84281,0.865831829,2006,1
"13618","TRAXLZU12903D05F94","Rick Astley","Never Gonna Give You Up",-7.75,113.359,4,1,1,211.69587,0.864248831,1987,1
"8833","TRAPEHR128E0786D5A","Zeromancer","Send Me An Angel",-5.832,130,4,10,0,236.53832,0.864141654,2001,1
"9650","TRAQVTO128F14696A6","Daft Punk","Da Funk",-5.019,111.201,4,5,0,329.53424,0.8622545,1995,1
"3006","TRAFDRG128F42797B6","Alice In Chains","Sickman",-5.626,150.077,4,10,0,329.37751,0.860070194,1992,1
"11910","TRAURHK12903CA60F8","Charlotte Gainsbourg","Le Chat du Caf̩ des Artistes",-9.838,150.256,4,1,0,241.65832,0.859634684,2009,1
"5521","TRAJNWY128E078907F","Cut Copy","Future",-8.775,119.562,4,11,0,312.08444,0.859349894,2004,1
"6113","TRAKQXJ128F147A028","AFI","Summer Shudder",-4.183,170.046,4,1,1,187.03628,0.858630458,2006,1
"7700","TRANHYE128F92DE232","Taylor Swift","The Way I Loved You",-4.536,160.786,4,5,1,245.36771,0.853828893,2008,1
"1507","TRACYXW128F4297569","Whitesnake","Fool For Your Loving",-7.356,125.783,4,7,1,250.3571,0.85259138,1980,1
"8814","TRAPCNK128F427D7B5","M83","You Appearing",-11.451,96.047,7,7,1,219.24526,0.852088918,2008,1
"879","TRABVIU128E0780DA0","Placebo","Slave To The Wage",-6.033,142.116,4,8,1,246.96118,0.850282902,2000,1
"23052","TRBCSDW128F424D686","The Maine","You Left Me",-4.92,130.031,4,0,1,209.00526,0.84967867,2008,1
"14644","TRAZASM128F932FBEE","Franz Ferdinand","Do You Want To",-3.509,124.01,4,0,1,214.9873,0.84937728,2005,1
"7660","TRANDBY128F146E8CC","Taking Back Sunday","Spin (Album Version)",-4.164,95.254,4,11,1,219.79383,0.84930612,2006,1
"22889","TRBCBXZ128F14628C3","Lighthouse Family","Ocean Drive",-8.03,90.703,3,2,1,241.8673,0.848616761,1995,1
"10595","TRASDOI128F1480E28","Paramore","Emergency (Album Version)",-4.413,167.971,4,9,1,243.51302,0.848463885,0,1
"9017","TRAPTOE128F4272000","Akon","Don't Matter",-6.124,125.328,4,2,1,249.39057,0.847530898,2006,1
"13614","TRAXLPR128F428E466","The White Stripes","A Martyr For My Love For You",-8.686,85.159,4,2,1,259.5522,0.845088385,2007,1
"6165","TRAKWNL12903CC37B6","Porcupine Tree","Remember Me Lover (Album Version)",-10.321,132.972,4,9,1,454.16444,0.839908888,2009,1
"2651","TRAEVIK12903CCC7E2","Jimi Hendrix","Fire",-6.216,167.263,1,1,1,192.23465,0.839849896,1969,1
"6513","TRALDDK128F9300AC5","Thrice","The Earth Will Shake",-9.458,126.947,7,9,0,329.7171,0.838286675,2005,1
"8880","TRAPHZT128F147A02B","AFI","Affliction",-5.711,113.471,5,4,1,328.72444,0.836930122,2006,1
"43","TRAADLN128F14832E9","The Rolling Stones","Angie (1993 Digital Remaster)",-10.358,139.333,1,9,0,271.49016,0.83449262,0,1
"8506","TRAOYFS128F423E593","My Chemical Romance","Interlude (Album Version)",-22.42,132.474,3,6,0,57.18159,0.833658152,2004,1
"5524","TRAJNYD128F9340A32","The Cars","Drive",-5.811,111.319,1,6,1,234.50077,0.833006243,1984,1
"9598","TRAQRHA128F93001EB","The Strokes","Between Love & Hate",-4.689,104.208,5,9,1,191.29424,0.828400264,2003,1
"7686","TRANGQX128F422F1DE","Atreyu","Nevada's Grace (Album Version)",-5.512,128.639,4,8,1,227.99628,0.828087509,2004,1
"9515","TRAQJMP128F92E3821","Muse","Can't Take My Eyes Off You",-5.646,126.725,4,0,1,211.12118,0.8256561,0,1
"6180","TRAKXMS12903CB36F2","DAVE MATTHEWS BAND","The Space Between",-5.21,85.141,4,6,0,293.66812,0.825232995,2001,1
"139","TRAAKAS128F4246013","Porcupine Tree","Waiting",-7.982,124.04,5,6,0,416.80934,0.82517354,1997,1
"7167","TRAMKDJ128F92F3D8B","The Mars Volta","Take The Veil Cerpin Taxt",-3.741,174.792,5,9,0,521.63873,0.824717771,2003,1
"74","TRAAFYL128E07856A7","Van Halen","Panama (Remastered Album Version)",-4.865,140.995,1,8,1,209.29261,0.82448213,0,1
"866","TRABUMO12903CBE25F","Alice In Chains","Lesson Learned",-3.91,107.845,4,10,0,256.522,0.824432869,2009,1
"11819","TRAUJKJ128E078FA48","Jack Johnson","Fortunate Fool",-10.736,128.684,4,8,0,228.70159,0.824206502,2000,1
"10822","TRASYIH12903D08529","Nick Jonas & The Administration","State of Emergency",-4.38,92.105,4,4,1,214.72608,0.822402885,2010,1
"2436","TRAEASY128F148247C","Charlotte Gainsbourg","Tel Que Tu Es",-12.1,119.683,3,6,1,189.70077,0.819642711,2006,1
"12340","TRAVELY128F42606F8","A Tribe Called Quest","Like It Like That",-9.309,94.971,4,8,0,166.86975,0.818941494,1998,1
"8398","TRAOOGD128F92E4768","Alice In Chains","God Smack",-4.438,124.144,4,8,1,230.60853,0.81839438,1992,1
"11855","TRAUMIT128F424DA18","Weezer","Dope Nose",-5.477,127.407,4,10,0,137.37751,0.81722756,2002,1
"10029","TRARDJY128F14750EA","30 Seconds To Mars","Year Zero",-6.736,121.518,5,3,1,472.39791,0.81689746,2002,1
"9402","TRAQAIW12903C9B61E","Belle and Sebastian","I Could Be Dreaming",-9.67,165.038,4,1,1,226.92526,0.815550861,1996,1
"5048","TRAIYZW128F9330F7D","Kanye West","Street Lights",-9.644,125.593,3,1,1,189.962,0.814517241,2008,1
"11879","TRAUONA128F4255A38","Gorillaz","November Has Come",-8.317,84.141,5,10,1,160.96608,0.814431712,2005,1
"11720","TRAUALF128E0781331","Gorillaz","Rock The House (Explicit)",-7.033,171.918,4,1,1,249.93914,0.813305209,2001,1
"9592","TRAQQVR128F4255A3A","Gorillaz","White Light",-7.766,154.873,4,2,1,128.41751,0.813129444,2005,1
"3139","TRAFQFM128E078EC97","Eminem","The Way I Am",-2.973,174.69,4,7,1,289.30567,0.813003556,2000,1
"2430","TRAEADK128F4270AA6","Porcupine Tree","Moon Loop (Improvisation)",-11.524,134.075,4,9,0,978.442,0.812029297,0,1
"11948","TRAUURC128E078EC6E","Eminem","I'm Back",-3.989,180.168,4,11,0,312.2673,0.811707531,2000,1
"3733","TRAGSGF128E0780CA7","Coldplay","One I Love",-7.446,134.027,4,2,1,274.41587,0.810263613,2002,1
"7897","TRANWZE128E078EE09","Nirvana","School",-5.864,170.069,4,6,0,160.33914,0.807705236,0,1
"23438","TRBIAVP12903CEDA19","Joe Bonamassa","I Know A Place",-7.355,75.064,3,7,1,258.7424,0.806399867,2010,1
"10032","TRARDOK128F9300AB5","Thrice","The Earth Isn't Humming",-9.454,143.59,4,5,1,349.80526,0.805691387,2008,1
"6584","TRALJBT128F4266FD8","Jennifer Lopez","Play",-1.81,104.796,4,6,0,211.56526,0.804749694,2001,1
"6677","TRALROP128F92CA9CC","Foo Fighters","Next Year",-4.203,173.983,4,7,1,274.65098,0.804318946,1999,1
"12394","TRAVKKG128E0784E75","Fabolous","Change You or Change Me (Amended Version)",-7.677,85.897,4,9,0,283.61098,0.802932875,2003,1
"880","TRABVIZ128F42BA066","Metallica","Hit The Lights",-3.028,167.486,4,1,1,252.3424,0.801014141,1982,1
"2488","TRAEGGV128F92F29B2","Warrant","Cherry Pie",-4.65,177.152,4,4,0,201.03791,0.800849691,0,1
"6503","TRALCCO12903CEBB97","Modern Lovers","She cracked",-12.502,142.857,4,7,1,260.62322,0.800078986,1976,1
"9446","TRAQEKD128F425293D","Auf Der Maur","Taste You",-7.319,125.05,3,9,0,277.89016,0.799547839,2004,1
"2649","TRAEVHU128F92D9EA0","Blue October","My Never",-12.637,103.647,4,4,1,225.67138,0.799499551,2009,1
"3219","TRAFXYN128F148B3B4","Tesla","The Way It Is",-10.478,161.47,4,7,1,390.66077,0.79902352,1989,1
"6502","TRALBOZ128F4251490","Dead Kennedys","The Man with the Dogs",-4.058,223.62,1,5,1,182.04689,0.798895652,1979,1
"2595","TRAEQOS128F92EFD47","The Fray","Vienna",-8.096,124.534,3,5,0,231.07873,0.798409825,2002,1
"6662","TRALPXC128E07819A8","Sex Pistols","Pretty Vacant",-6.758,144.573,4,2,1,194.58567,0.798113657,1977,1
"7113","TRAMFJR128F92C1DB1","Toni Braxton","He Wasn't Man Enough",-3.825,175.959,4,11,0,262.08608,0.796349156,2000,1
"14240","TRAYSMO128F9318E7C","The Fray","Absolute",-5.432,140.577,4,3,1,227.082,0.795505541,2009,1
"4928","TRAIOWX128F14750E5","30 Seconds To Mars","The Mission",-4.675,190.102,4,8,1,245.02812,0.793613668,2002,1
"7646","TRANCCN128E0794B18","30 Seconds To Mars","Hunter",-10.807,106.525,3,10,1,234.73587,0.792042603,2005,1
"2552","TRAENGY128F4272846","Buddy Jewell","Sweet Southern Comfort",-6.986,147.928,4,2,1,212.89751,0.79080308,2003,1
"10744","TRASRXK128F9311176","Arctic Monkeys","Fake Tales Of San Francisco",-4.385,127.294,4,7,1,177.94567,0.790786932,2004,1
"10636","TRASHZB128E0791E81","Dave Hollister","One Woman Man",-7.493,91.003,4,4,1,271.62077,0.790566802,2001,1
"3800","TRAGXNU128F932C7D8","Junior Jack","E Samba (Accapella)",-12.715,106.216,3,0,1,96.10404,0.79034456,0,1
"14093","TRAYESZ128F1458FAE","Public Image Ltd","The Order Of Death",-12.525,102.976,4,4,1,288.80934,0.789938704,1984,1
"12972","TRAWJDS128F4262D92","M83","Let Men Burn Stars",-12.692,110.182,4,9,0,116.45342,0.789583417,2005,1
"10172","TRARREF128F422FD96","Dead Kennedys","Halloween",-4.264,92.897,4,10,1,216.842,0.788388183,1982,1
"13549","TRAXGLQ12903CDBF13","Dropkick Murphys","Johnny_ I Hardly Knew Ya",-3.233,199.497,4,7,1,292.25751,0.788162181,0,1
"8886","TRAPIKQ128E07951D4","Mase","What You Want [feat. Total] (Album Version)",-6.63,93.871,4,3,0,242.93832,0.786889085,0,1
"12362","TRAVGNH128F428CBA9","Amorphis","Into Hiding",-9.531,130.677,4,8,0,225.41016,0.786169126,1994,1
"49","TRAADQX128F422B4CF","Casiotone For The Painfully Alone","Nashville Parthenon",-10.93,141.919,4,0,1,175.72526,0.785892288,2006,1
"10789","TRASVOH12903CCDC0B","Usher","Hey Daddy (Daddy's Home)",-4.328,95.998,4,11,1,224.10404,0.785679587,2010,1
"3163","TRAFSAP128E0780ECF","Wang Chung","Dance Hall Days",-12.455,205.245,4,0,1,234.762,0.785025092,1983,1
"762","TRABLMN128E0792687","Weezer","Don't Let Go",-3.637,142.68,4,2,1,180.97587,0.784712266,2001,1
"245","TRAATIU128F4291A84","Mastodon","Shadows That Move",-3.937,89.78,4,2,1,233.58649,0.784194616,2001,1
"12528","TRAVVZW12903CCEEE7","Madonna","Into The Groove",-4.104,116.512,4,1,1,285.09995,0.783623854,1985,1
"11876","TRAUOEY128F421CBD3","Amy Winehouse","Valerie",-7.256,96.224,4,5,0,229.85098,0.78289886,2007,1
"13050","TRAWPNC128F92EAA90","Toby Love featuring Rakim & Ken-Y","Tengo Un Amor",-6.046,134.012,4,8,1,260.28363,0.782452966,2007,1
"7643","TRANBUW128F933C645","Coldplay","Don't Panic",-8.501,122.291,4,0,1,139.12771,0.781932171,1999,1
"3532","TRAGARS128F427216A","The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan","Telephone Song",-8.066,117.947,4,8,1,208.48281,0.780157224,1990,1
"14299","TRAYXDI128F428CD9C","Kanye West","Skit #2 (Kanye West/Late Registration)",-12.368,60.046,1,1,1,31.32036,0.7801197,2005,1
"13006","TRAWLYF128F92D9EE0","Blue October","Blue Skies",-6.8,116.896,4,11,0,223.29424,0.779756966,2009,1
"6529","TRALENK128F92F39E9","Circle Jerks","Paid Vacation",-7.545,156.605,1,1,1,88.89424,0.779527168,1980,1
"11746","TRAUCNU128F42671EB","Gipsy Kings","Tu Quieres Volver",-8.403,165.006,1,5,0,194.87302,0.778820809,1987,1
"6169","TRAKWUV128F42699BD","Deep Forest","Hunting",-9.314,145.464,4,1,1,397.76608,0.777596478,1992,1
"9637","TRAQUWF128E07924E4","Drag-On / DMX","Niggas Die 4 Me",-6.051,102.889,4,10,1,232.82893,0.777048955,0,1
"5399","TRAJCBF128F931B8BF","Gov't Mule","Broke Down On The Brazos (Album)",-5.856,196.141,4,5,0,378.95791,0.776573883,2009,1
"2108","TRADYQK128F42A762A","Muse","Stockholm Syndrome",-4.854,128.134,4,2,0,296.95955,0.776350976,0,1
"5535","TRAJOPN128F423BEC3","Wolfmother","Dimension",-4.598,141.769,4,2,1,260.91057,0.776126776,2004,1
"3036","TRAFHRS128F14599C0","Semisonic","Secret Smile",-9.429,99.059,4,1,1,280.00608,0.775235362,1998,1
"1263","TRACECN128F9310E97","Radiohead","Subterranean Homesick Alien",-9.148,150.848,3,0,1,267.20608,0.775023551,1997,1
"11963","TRAUVUF128F148D1AA","The Misfits","Dig Up Her Bones",-5.128,111.153,4,10,0,181.21098,0.774854127,1997,1
"11164","TRATBNG128F92CADA8","Daddy Yankee","Llamado De Emergencia",-4.335,195.985,4,4,0,239.882,0.774816244,2008,1
"6078","TRAKOEB128F1478783","Rise Against","Intro/Chamber The Cartridge",-4.504,109.45,3,8,1,214.88281,0.774014062,2006,1
"5003","TRAIUYZ128F425BD2F","M̼m","Nightly Cares",-15.775,95.576,4,1,0,249.05098,0.774004274,2004,1
"7140","TRAMHJH128E0793259","Spooky Tooth","Evil Woman",-9.465,142.646,4,7,0,545.74975,0.773738815,1969,1
"7812","TRANQLL128F92F5263","Shakira","Poem To A Horse",-6.025,93.982,4,7,1,246.43873,0.7731945,2001,1
"7640","TRANBMY128F426416A","Danger Danger","Rock America",-7.866,164.171,4,4,1,292.85832,0.772906696,1989,1
"7125","TRAMGPM128F9311196","Arctic Monkeys","From The Ritz To The Rubble",-5.325,184.023,3,9,0,193.43628,0.771888914,2004,1
"7814","TRANQQZ128E079224E","Snow Patrol","Wow",-5.694,143.038,4,0,1,242.05016,0.771473924,2003,1
"920","TRABZSL128F932A529","Jeff Beck","A Day In The Life (Album Version)",-7.74,145.917,1,4,0,286.27546,0.771471753,0,1
"8513","TRAOZEJ128F428CCEA","OutKast","Wailin'",-10.817,95.381,4,1,1,118.9873,0.769733162,1996,1
"11379","TRATUQR128F422F34D","Between The Buried And Me","Kickstart My Heart (Album Version)",-5.493,89.485,4,4,0,295.28771,0.769201429,2006,1
