"","track_id","artist_name","title","loudness","tempo","time_signature","key","mode","duration","song_hotttnesss","year","decade"
"2","TRAAABD128F429CF47","The Box Tops","Soul Deep",-9.843,121.274,4,6,0,148.03546,NA,1969,1965
"4","TRAAAEF128F4273421","Adam Ant","Something Girls",-9.013,119.293,4,0,1,233.40363,NA,1982,1975
"5","TRAAAFD128F92F423A","Gob","Face the Ashes",-4.501,129.738,4,2,1,209.60608,0.604500739,2007,2005
"9","TRAAARJ128F9320760","Planet P Project","Pink World",-13.496,86.643,4,4,1,269.81832,0.265861049,1984,1975
"15","TRAABJV128F1460C49","Lionel Richie","Tonight Will Be Alright",-8.346,125.197,3,3,1,307.3824,NA,1986,1985
"16","TRAABLR128F423B7E3","Blue Rodeo","Floating",-8.576,119.826,4,7,1,491.12771,0.405115722,1987,1985
"19","TRAABVM128F92CA9DC","Tesla","Caught In A Dream",-5.271,150.062,4,7,1,290.29832,0.684136191,2004,1995
"24","TRAACER128F4290F96","The Dillinger Escape Plan","Setting Fire to Sleeping Giants",-4.264,166.862,4,7,1,207.77751,0.666527846,2004,1995
"25","TRAACFV128F935E50B","SUE THOMPSON","James (Hold The Ladder Steady)",-12.332,137.522,4,10,1,124.86485,0.495293621,1985,1985
"28","TRAACLV128F427E123","Tim Wilson","I Think My Wife Is Running Around On Me (Taco Hell)",-4.516,90.022,1,5,1,186.48771,NA,2005,2005
"29","TRAACNS128F14A2DF5","Willie Bobo","Spanish Grease",-9.616,127.025,4,8,1,168.25424,NA,1997,1995
"30","TRAACOW128F933E35F","Faye Adams","Crazy Mixed Up World",-18.051,95.957,3,8,1,156.39465,0,1961,1965
"31","TRAACPE128F421C1B9","Terry Callier","Do You Finally Need A Friend",-11.939,110.189,3,6,1,342.56934,0.413739836,1972,1965
"33","TRAACSL128F93462F4","The Shangri-Las","Twist and Shout",-10.922,130.1,1,10,1,164.80608,0.443291312,1964,1965
"34","TRAACTB12903CAAF15","Billie Jo Spears","It Makes No Difference Now",-9.983,160.839,1,4,1,133.32853,0,1992,1985
"36","TRAACZK128F4243829","Sierra Maestra","Â¿DÃ_nde va Chichi?",-9.512,189.646,3,9,1,313.12934,NA,1997,1995
"41","TRAADIV12903CB15C1","Scarlet's Remains","Spin",-7.469,115.061,4,7,1,198.73914,0.450992312,2007,2005
"42","TRAADLH12903CA70EE","The Suicide Machines","Burning In The Aftermath",-2.022,115.887,4,2,1,95.68608,0.528782481,2003,1995
"45","TRAADLX128F1469250","Loudon Wainwright III","Human Cannonball",-15.663,102.428,4,3,1,190.48444,0.510119314,1995,1995
"46","TRAADMH128F9343E59","R.L. Burnside","Glory Be",-6.944,89.984,4,2,1,277.78567,0.482137585,2004,1995
"47","TRAADNA128F9331246","Stevie Ray Vaughan","Crossfire",-7.805,116.721,4,1,1,248.78975,NA,1992,1985
"48","TRAADOF12903CAA1C1","John Hammond","I Can't Be Satisfied",-10.7,123.142,4,7,1,195.3171,NA,2002,1995
"49","TRAADQX128F422B4CF","Casiotone For The Painfully Alone","Nashville Parthenon",-10.93,141.919,4,0,1,175.72526,0.785892288,2006,2005
"50","TRAADRN128F932D607","Ec8or","Cocain Ducks",-9.493,95.596,4,10,0,217.23383,NA,1995,1995
"51","TRAADVH128EF34DE7A","The New York Dolls","Human Being",-9.253,154.953,1,11,1,344.05832,0.561692411,1974,1965
"52","TRAADYB128F92D7E73","Eliane Elias","The More I See You",-12.009,86.091,5,7,1,251.42812,0.43483809,2009,2005
"53","TRAADYI128E078FB38","Lost Boyz","Certain Things We Do",-11.043,90.218,4,7,1,269.7922,0.405115722,1997,1995
"54","TRAAEAM128F934B199","The Germs","Forming",-11.506,133.144,1,11,0,206.05342,NA,1977,1975
"56","TRAAEEH128E0795DFE","Chris Rea","Driving Home For Christmas",-8.531,180.149,4,9,1,241.162,0.767727748,1986,1985
"57","TRAAELO128F9302DD1","Perrey And Kingsley","Spooks In Space",-8.541,102.538,4,0,0,122.64444,0.43483809,1966,1965
"58","TRAAEMJ128F425A917","Eurythmics","Tous Les GarÃ§ons Et Les Filles",-6.629,84.164,4,0,1,207.0722,0.38293509,1985,1985
"59","TRAAENC128F1451DE9","Francis Dunnery","Too Much Saturn",-13.33,124.175,4,7,1,300.79955,0.610474258,1995,1995
"60","TRAAENP128F147BF32","John Cale","Movement 4 [from Kiss] (Album Version)",-12.412,137.004,1,7,1,228.46649,0.226555314,1997,1995
"63","TRAAEUB12903CDD3EA","The Berzerker","Deform (live)",-6.222,174.287,3,1,1,165.61587,0,2000,1995
"64","TRAAEWG128F930B3A4","Kings Of Leon","Wicker Chair",-5.907,116.823,4,0,1,187.92444,0.685940227,2003,1995
"67","TRAAFJW128F428A424","NOFX","Stickin In My Eye",-7.787,152.622,4,4,0,144.50893,0.671236027,1992,1985
"69","TRAAFMS128F933AB23","Soda Stereo","Entre CanÃ_bales",-9.603,112.903,4,7,1,246.69995,0.62616576,1990,1985
"70","TRAAFON128F42926FB","Bruce Rowland","Rosemary Recalls",-26.266,115.642,4,7,1,84.03546,0,1985,1985
"71","TRAAFRU128F9339158","Xcultures","Sudanese Dance",-6.305,125.013,4,1,1,273.52771,0.199238262,2000,1995
"73","TRAAFUJ128F933F42B","Heavy D / McGruff","Wanna Be A Player",-9.161,96.979,4,5,0,161.38404,0.237733942,1997,1995
"75","TRAAGCZ128F93210FD","Black Eyed Peas","Let's Get It Started",-4.882,105.206,4,11,0,229.61587,0.624425493,2004,1995
"76","TRAAGEC128E079252C","Nine Inch Nails","Metal",-12.951,63.017,4,0,0,426.89261,0.635536649,2000,1995
"79","TRAAGJV128F1464090","Lesley Gore","It's My Party",-9.091,129.122,1,9,1,136.48934,NA,1963,1965
"80","TRAAGKF128F932D5A2","Smartbomb","Complicate It",-2.658,132.022,4,0,1,233.27302,0,2001,1995
"81","TRAAGKQ128F92EAF39","Suburbs","Monde De Fou",-4.42,183.92,1,1,1,187.24526,0.249065795,2005,2005
"85","TRAAGOH128F42593CE","T.G. Sheppard","You Feel Good All Over",-15.581,82.343,1,5,1,194.11546,0.382723281,2002,1995
"86","TRAAGPF12903CE027E","Slim Whitman","Indian Love Call",-11.98,91.487,4,3,1,195.91791,NA,1990,1985
"87","TRAAGPH128F4273C8D","Savage Garden","You Can Still Be Free",-11.215,84.69,5,9,0,118.33424,NA,1999,1995
"88","TRAAGPJ128F428CD1B","Queens Of The Stone Age","I Never Came",-8.165,115.606,4,2,1,288.41751,0.725121284,2005,2005
"90","TRAAGVF128E0789785","Inspiral Carpets","Commercial Reign",-8.7,113.677,4,2,1,283.76771,0.665172241,1990,1985
"95","TRAAHEG128E07861C3","Redman","WKYA (drop)",-10.296,85.008,5,1,0,124.18567,0.57010593,2001,1995
