"classic pop and rock" "classical" "dance and electronica" "folk" "hip-hop" "jazz and blues" "metal" "pop" "punk" "soul and reggae" "NA"
"classic pop and rock" 5240 68 270 1030 11 170 91 34 160 125 17
"classical" 112 208 38 122 0 77 2 2 1 6 5
"dance and electronica" 821 61 213 170 6 80 32 6 30 40 6
"folk" 2312 83 117 1155 1 154 12 9 38 58 4
"hip-hop" 90 0 8 12 4 3 8 0 9 5 0
"jazz and blues" 537 108 93 256 2 236 6 2 11 13 9
"metal" 377 5 53 31 6 8 89 3 44 14 0
"pop" 384 2 17 47 1 4 8 11 15 11 0
"punk" 560 2 27 96 3 8 33 8 161 13 2
"soul and reggae" 863 6 55 152 1 29 25 10 29 58 0
